"sim","loss"
1117,21816882.27
1118,7306294.476
1119,2881120
1120,11669537.822
1121,13840446.185
1122,5284529
1123,10782998.677
1124,2546705
1125,0
1126,1646192
1127,7855880.826
1128,8753923.062
1129,34215929.04
1130,11686864.413
1131,12795268.865
1132,807000
1133,12369248.406
1134,11028531.068
1135,6664614.062
1136,298397.451
1137,16301355.643
1138,15511467.981
1139,0
1140,28801004.783
1141,21025913.426
1142,29241357.384
1143,4370720.451
1144,0
1145,32806065.776
1146,9097626.068
1147,9654283.829
1148,16694085.354
1149,519313
1150,0
1151,6601347.58
1152,18174947.53
1153,10498621.503
1154,5255495.768
1155,1018322
1156,34442676.26
1157,10558367.348
1158,0
1159,7549655.951
1160,36298254.91
1161,807000
1162,5591768.435
1163,17645254.08
1164,34021870.4
1165,23260679.213
1166,13657569.28
1167,5466164.826
1168,14416331.399
1169,24936493.134
1170,14629620.164
1171,12864640.988
1172,10707889.378
1173,5591768.435
1174,23464356.118
